size,Location,Total sqft,price_sqft,price,area_type,availability
1,kasaradavali thane west,914,"10,000",91.4 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Badlapur West,1350,"4,814",65 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Malad West,550,"15,090",83 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kandivali West,850,"16,117",1.37 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,630,"9,841",62 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,660,"7,727",51 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,630,"9,239",58.21 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,630,"9,841",62 L,Built-up  Area,Ready To Move
3 BHK Apartment,Powai,1180,"28,813",3.4 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Powai,1180,"28,389",3.35 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Virar,650,"5,076",33 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Thane West,1300,"10,000",1.3 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Thane West,1026,"20,961",2.15 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Thane West,811,"24,660",2 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,625,"9,600",60 L,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Mira Road East,380,"10,000",38 L,Super built-up  Area,Not Ready Yet
1 RK Studio Apartment,Mira Road East,400,"8,978",35.91 L,Built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,630,"9,239",58.21 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,630,"9,841",62 L,Built-up  Area,Ready To Move
2 BHK Apartment,Kandivali West,850,"13,882",1.18 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Powai,1180,"28,813",3.4 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Powai,1180,"28,389",3.35 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Kharghar,2000,"17,500",3.5 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Kharghar,1750,"10,285",1.8 Cr,Super built-up  Area,Not Ready Yet
1,Bhandup West,565,"13,982",79 L,Super built-up  Area,Not Ready Yet
2,Kharghar,1206,"7,462",90 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Karanjade,2000,"12,500",2.5 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Karanjade,2000,"12,500",2.5 Cr,Built-up  Area,Ready To Move
2,Bhandup West,800,"13,750",1.1 Cr,Super built-up  Area,Ready To Move
2,kasaradavali thane west,900,"8,111",73 L,Super built-up  Area,Ready To Move
1,kasaradavali thane west,914,"10,000",91.4 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Badlapur West,1350,"4,814",65 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Malad West,550,"15,090",83 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kandivali West,850,"16,117",1.37 Cr,Built-up  Area,Ready To Move
1,Bhandup West,565,"13,982",79 L,Built-up  Area,Ready To Move
2,Bhandup West,800,"13,750",1.1 Cr,Super built-up  Area,Ready To Move
3,Kharghar,1500,"12,666",1.9 Cr,Built-up  Area,Ready To Move
2,Kharghar,1206,"7,462",90 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Karanjade,2000,"12,500",2.5 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Karanjade,2000,"12,500",2.5 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Thane West,1650,"19,393",3.2 Cr,Super built-up  Area,Ready To Move
2,Bandra West,1100,"36,363",4 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Thane West,900,"12,888",1.16 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Thane West,600,"14,666",88 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,1450,"15,586",2.26 Cr,Plot  Area,Ready To Move
2 BHK Apartment,Mulund West,1170,"15,811",1.85 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Powai,1470,"34,013",5 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,1225,"12,244",1.5 Cr,Super built-up  Area,Not Ready Yet
2,Bandra West,1000,"37,500",3.75 Cr,Built-up  Area,Ready To Move
3 BHK Apartment,Borivali East,1500,"24,000",3.6 Cr,Plot  Area,Ready To Move
2 BHK Apartment,Napeansea Road,850,"41,176",3.5 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Peddar Road,750,"46,666",3.5 Cr,Plot  Area,Ready To Move
3 BHK Apartment,Chembur,1005,"27,888",2.8 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Chembur,1005,"27,888",2.8 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Naigaon East,750,"4,666",35 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,LBS Marg,1600,"17,187",2.75 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1400,"11,357",1.59 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Mulund West,2000,"12,637",2.52 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,2000,"12,125",2.42 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Mulund West,2000,"11,700",2.34 Cr,Carpet  Area,Ready To Move
3 BHK Apartment,Mulund West,1900,"11,289",2.14 Cr,Super built-up  Area,Ready To Move
1,Dahisar West,550,"11,454",63 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Goregaon East,600,"13,166",79 L,Super built-up  Area,Ready To Move
3,Borivali West,1250,"18,000",2.25 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Andheri West,1050,"15,333",1.61 Cr,Super built-up  Area,Ready To Move
1,Borivali West,600,"16,333",98 L,Built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1294,"8,500",1.1 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,2000,"11,700",2.34 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Mulund West,1900,"11,289",2.14 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,1900,"10,736",2.04 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,1900,"10,315",1.96 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1400,"12,500",1.75 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mulund West,1400,"11,821",1.65 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Bhandup West,1085,"13,548",1.47 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Mulund West,1900,"11,289",2.14 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1400,"11,357",1.59 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1085,"13,548",1.47 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1085,"13,548",1.47 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1000,"14,600",1.46 Cr,Super built-up  Area,Ready To Move
1,Hiranandani Estates,635,"10,708",68 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kurla,920,"11,413",1.05 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,LBS Marg,1600,"17,187",2.75 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,388,"16,299",63.24 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Naigaon East,750,"4,666",35 L,Built-up  Area,Not Ready Yet
3 BHK Apartment,Mulund West,2000,"11,700",2.34 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,1900,"11,289",2.14 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,1900,"10,736",2.04 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,1900,"10,315",1.96 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mulund West,1400,"12,500",1.75 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1400,"11,821",1.65 Cr,Super built-up  Area,Ready To Move
2,Dombivli (West),1000,"4,850",48.5 L,Super built-up  Area,Not Ready Yet
1,Dombivali East,800,"4,812",38.5 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhandup West,500,"11,000",55 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1000,"19,200",1.92 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,700,"17,857",1.25 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1000,"19,100",1.91 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Thane West,1200,"14,000",1.68 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Kurla,1500,"13,333",2 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1000,"19,000",1.9 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Kanjurmarg,800,"13,875",1.11 Cr,Plot  Area,Ready To Move
2 BHK Apartment,Mulund West,1500,"10,600",1.59 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Mulund West,1900,"10,736",2.04 Cr,Super built-up  Area,Not Ready Yet
2,Vichumbe,950,"4,210",40 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,1800,"10,888",1.96 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1600,"10,937",1.75 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Agripada,1650,"20,606",3.4 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mulund West,1600,"10,343",1.65 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1300,"9,307",1.21 Cr,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Dombivali,455,"4,503",20.49 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,480,"4,374",20.99 L,Plot  Area,Ready To Move
1 BHK Apartment,Kanjurmarg,1022,"14,872",1.52 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,620,"4,032",24.99 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,830,"3,975",33 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,650,"3,999",25.99 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,360,"23,333",84 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Mira Road East,640,"22,656",1.45 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,127,"56,692",72 L,Plot  Area,Not Ready Yet
3 BHK Apartment,Mira Road East,643,"23,328",1.5 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,327,"23,241",76 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,308,"24,025",74 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,357,"22,969",82 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Mira Road East,633,"22,116",1.4 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,339,"22,713",77 L,Plot  Area,Ready To Move
1 BHK Apartment,Mira Road East,157,"46,496",73 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,506,"20,750",1.05 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,323,"23,219",75 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,527,"20,872",1.1 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,485,"19,587",95 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,349,"22,922",80 L,Built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,400,"22,000",88 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,347,"22,766",79 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,365,"23,561",86 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,417,"21,342",89 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,368,"23,641",87 L,Built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,510,"4,000",20.4 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,570,"4,000",22.8 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,800,"4,000",32 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,725,"4,137",30 L,Super built-up  Area,Not Ready Yet
1 RK Studio Apartment,Dombivali,415,"4,455",18.49 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,650,"4,000",26 L,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Dombivali,400,"4,500",18 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,930,"6,451",59.99 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kanjurmarg,1022,"14,872",1.52 Cr,Super built-up  Area,Ready To Move
1,Dombivali East,690,"4,782",33 L,Super built-up  Area,Ready To Move
2,Dombivali East,770,"4,025",31 L,Super built-up  Area,Ready To Move
1,Dombivali East,340,"4,000",13.6 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,1205,"11,369",1.37 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,750,"20,000",1.5 Cr,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Mulund West,800,"16,875",1.35 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,850,"13,411",1.14 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,750,"20,000",1.5 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Bhayandar East,1845,"14,092",2.6 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Bhayandar East,1025,"15,609",1.6 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,968,"8,057",78 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,480,"3,958",19 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,510,"4,000",20.4 L,Plot  Area,Ready To Move
1 BHK Apartment,Dombivali,570,"4,000",22.8 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,800,"4,000",32 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,725,"4,137",30 L,Built-up  Area,Ready To Move
1 RK Studio Apartment,Dombivali,415,"4,455",18.49 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Dombivali,650,"4,000",26 L,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Dombivali,400,"4,500",18 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,930,"6,451",59.99 L,Built-up  Area,Ready To Move
2 BHK Apartment,Kanjurmarg,1022,"14,872",1.52 Cr,Super built-up  Area,Ready To Move
1,Dombivali East,690,"4,782",33 L,Super built-up  Area,Not Ready Yet
2,Dombivali East,770,"4,025",31 L,Super built-up  Area,Ready To Move
1,Dombivali East,340,"4,000",13.6 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,1205,"11,369",1.37 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,750,"20,000",1.5 Cr,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Mulund West,800,"16,875",1.35 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Bhandup West,850,"13,411",1.14 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,750,"20,000",1.5 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhiwandi,800,"4,275",34.2 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,820,"9,268",76 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhandup East,600,"13,333",80 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,2000,"12,637",2.52 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Chembur,800,"12,500",1 Cr,Super built-up  Area,Not Ready Yet
1,Rabale,650,"9,230",60 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Dombivali,820,"9,268",76 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,800,"5,250",42 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,660,"4,696",31 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,660,"9,696",64 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,660,"9,848",65 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1100,"7,727",85 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,750,"9,066",68 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,750,"8,666",65 L,Super built-up  Area,Ready To Move
2,Badlapur East,885,"4,497",39.8 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhayandar East,1080,"7,870",85 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhayandar East,740,"9,324",69 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Bhayandar East,740,"9,189",68 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kandivali East,1250,"18,800",2.35 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Kandivali East,885,"19,774",1.75 Cr,Plot  Area,Ready To Move
1 BHK Apartment,Borivali East,625,"18,400",1.15 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Wadala,815,"27,361",2.23 Cr,Built-up  Area,Ready To Move
1,Ulwe,400,"8,000",32 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kandivali West,900,"15,000",1.35 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Malad West,450,"11,444",51.5 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Chembur,1000,"12,500",1.25 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,1200,"14,166",1.7 Cr,Plot  Area,Ready To Move
1,Ulwe,660,"6,060",40 L,Built-up  Area,Ready To Move
3 BHK Apartment,Chembur,2450,"14,081",3.45 Cr,Built-up  Area,Ready To Move
2,Ulwe,1010,"5,940",60 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,1000,"12,900",1.29 Cr,Super built-up  Area,Ready To Move
4 BHK Apartment,Chembur,2300,"18,260",4.2 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Chembur,800,"12,500",1 Cr,Super built-up  Area,Not Ready Yet
1,Rabale,650,"9,230",60 L,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Chembur,600,"12,500",75 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhandup West,800,"8,750",70 L,Built-up  Area,Ready To Move
1 BHK Apartment,Bhandup East,600,"12,500",75 L,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Bhandup East,602,"11,960",72 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup East,1000,"12,500",1.25 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup East,1000,"12,000",1.2 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Bhandup East,600,"12,000",72 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Bhandup West,1000,"11,000",1.1 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,730,"8,082",59 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,730,"7,945",58 L,Built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1000,"9,900",99 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,730,"9,452",69 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,795,"8,553",68 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,795,"8,805",70 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Mira Road East,1300,"11,538",1.5 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,1100,"9,545",1.05 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,730,"10,000",73 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Wadala,815,"27,361",2.23 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,980,"8,061",79 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,738,"9,146",67.5 L,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Mira Road East,1120,"10,535",1.18 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,710,"9,366",66.5 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,1010,"9,306",94 L,Built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,795,"8,176",65 L,Built-up  Area,Ready To Move
3 BHK Apartment,Mira Road East,1300,"10,769",1.4 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Andheri West,975,"30,256",2.95 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Thane West,1100,"10,909",1.2 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Andheri West,1700,"33,823",5.75 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Malad West,856,"17,990",1.54 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Malad West,868,"17,511",1.52 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad West,869,"17,261",1.5 Cr,Super built-up  Area,Ready To Move
5 BHK Apartment,Mulund West,3000,"17,666",5.3 Cr,Super built-up  Area,Ready To Move
4 BHK Apartment,Mulund West,2000,"19,100",3.82 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,2000,"13,050",2.61 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Malad West,856,"18,925",1.62 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad West,856,"18,691",1.6 Cr,Carpet  Area,Ready To Move
1 BHK Apartment,Mulund West,800,"16,000",1.28 Cr,Carpet  Area,Ready To Move
2 BHK Apartment,Cuffe Parade,1200,"47,916",5.75 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,2000,"8,500",1.7 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Mulund West,800,"14,250",1.14 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Mulund West,800,"14,500",1.16 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,2000,"8,500",1.7 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,2000,"8,500",1.7 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,2000,"9,400",1.88 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,2000,"15,500",3.1 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Mulund West,800,"14,750",1.18 Cr,Built-up  Area,Ready To Move
1 RK Studio Apartment,Mulund West,400,"15,000",60 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1700,"10,588",1.8 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Bhandup East,1000,"12,000",1.2 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Bhandup East,600,"12,000",72 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,1000,"11,000",1.1 Cr,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Chembur,600,"12,500",75 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Chembur,1000,"12,900",1.29 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhandup West,800,"8,750",70 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Malad West,450,"11,333",51 L,Plot  Area,Not Ready Yet
2 BHK Apartment,Bhandup East,1000,"11,200",1.12 Cr,Super built-up  Area,Not Ready Yet
1 RK Studio Apartment,Bhandup East,600,"12,000",72 L,Plot  Area,Not Ready Yet
1 BHK Apartment,Bhandup East,800,"13,125",1.05 Cr,Built-up  Area,Ready To Move
1,Ulwe,640,"5,937",38 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,337,"17,261",57.99 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,552,"14,672",80.99 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,358,"16,806",59.99 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,600,"4,666",28 L,Built-up  Area,Ready To Move
2 BHK Apartment,Bhandup East,1000,"12,000",1.2 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhiwandi,800,"4,275",34.2 L,Plot  Area,Ready To Move
1 BHK Apartment,Mira Road East,426,"21,126",90 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,360,"23,333",84 L,Built-up  Area,Ready To Move
3 BHK Apartment,Mira Road East,640,"22,656",1.45 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Mulund West,800,"15,875",1.27 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1200,"13,333",1.6 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1200,"13,583",1.63 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,1200,"13,583",1.63 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,2000,"13,300",2.66 Cr,Super built-up  Area,Ready To Move
1,Chembur,870,"10,344",90 L,Plot  Area,Not Ready Yet
3,Chembur,2000,"17,250",3.45 Cr,Super built-up  Area,Not Ready Yet
1,Badlapur East,375,"5,066",19 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Bhayandar East,1845,"14,092",2.6 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhayandar East,1025,"15,609",1.6 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,968,"8,057",78 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,600,"18,518",1.11 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Bhandup West,600,"13,000",78 L,Built-up  Area,Ready To Move
1 BHK Apartment,Bhandup West,600,"11,833",71 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhandup West,800,"13,750",1.1 Cr,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Bhandup West,200,"13,000",26 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dahisar,990,"10,202",1.01 Cr,Super built-up  Area,Not Ready Yet
2,Malad West,800,"16,875",1.35 Cr,Super built-up  Area,Ready To Move
1,Malad West,620,"14,435",89.5 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Bhayandar East,725,"8,622",62.51 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,327,"23,241",76 L,Built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,308,"24,025",74 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,357,"22,969",82 L,Built-up  Area,Ready To Move
3 BHK Apartment,Mira Road East,633,"22,116",1.4 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,339,"22,713",77 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,157,"46,496",73 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,506,"20,750",1.05 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,323,"23,219",75 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Mira Road East,527,"20,872",1.1 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,485,"19,587",95 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,349,"22,922",80 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,400,"22,000",88 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Mira Road East,347,"22,766",79 L,Built-up  Area,Ready To Move
